#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
ASV_52	0	82	171	220	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	0	0	0	0	0	16	98	16	40	0	7	22	11	0	6	7	58	9	0	65	124	15	0	0	0	11	4	0	3	8	29
ASV_54	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	116	115	173
ASV_55	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	2	0	0	0	0	0	0	60	7	6	13	47	25	44	0	256
ASV_56	0	0	0	0	0	0	0	0	14	0	0	38	0	0	13	172	0	0	0	0	6	0	33	187	18	0	0	0	6	0	0	22	5	3
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	26	0	70	270	82	0	0	0	0	0	0	0	0	0
ASV_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	146	0	245	0	0	0	0	0	0	0	0	0
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	53	62	336
ASV_60	86	35	31	13	11	185	71	26	7	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	0	0	0	0	0	0	0	0	51	62	0	0	0	0	0	102	0	22	0	0	0	0	0	187	0	18	0	0	30	0	0	0	0	0
ASV_62	0	0	0	0	0	0	0	0	27	0	40	250	0	0	8	0	0	0	0	0	61	0	25	0	57	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	40	14	34	32	0	18	0	0	0	7	0	0	19	0	16	0	282	0	0	0	0	0	0	0	0	0
ASV_64	0	0	106	203	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	0	0	0	0	0	0	0	0	7	31	3	7	0	31	18	35	0	7	11	2	0	0	87	25	106	0	0	0	0	0	0	0	0	0
ASV_66	35	0	0	79	48	119	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	12	0	10	8	21	38	18	7	73	31	107
ASV_68	38	0	0	0	0	171	77	55	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_69	79	40	21	27	24	35	29	62	0	0	0	0	0	0	0	0	18	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_70	0	0	0	207	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_71	0	0	0	0	0	0	0	0	57	43	18	20	0	0	12	0	0	0	8	17	16	0	40	50	51	0	0	0	0	0	0	0	0	0
ASV_72	72	0	20	0	0	122	62	30	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0
ASV_74	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	11	0	22	10	15	25	14	17	83	31	30
ASV_75	0	0	0	0	0	0	0	0	64	0	0	21	0	0	0	0	0	62	0	0	0	0	91	0	61	0	0	0	0	0	0	0	0	0
ASV_76	0	0	0	0	0	162	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_77	0	0	0	0	0	0	0	0	31	50	12	0	0	12	19	7	0	16	13	0	0	0	32	27	65	0	0	0	0	0	0	0	0	0
ASV_78	0	0	0	0	0	0	0	0	0	26	35	71	0	20	0	0	0	0	0	0	24	0	0	0	92	0	0	0	0	0	0	0	0	0
ASV_79	0	0	0	0	197	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	0	0	0	0	0	0	0	0	0	10	0	0	0	0	46	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0
ASV_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0
ASV_82	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	8	0	0	0	0	0	0	0	16	0	0	0	0	0	0	10	49	51	80
ASV_83	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	2	0	0	0	0	0	0	0	8	0	8	16	24	7	34	47	63
ASV_84	0	0	0	0	0	0	0	0	83	0	0	0	0	0	34	0	0	18	0	0	0	0	57	0	0	53	0	0	0	0	0	0	0	0
ASV_85	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0	5	21	5	0	0	0	0	0	0	0	61	136
ASV_86	0	0	0	119	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	0	0	39	67	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_88	0	43	17	19	22	48	32	36	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
ASV_89	0	0	0	0	0	0	0	0	25	25	27	35	0	14	0	0	0	0	0	0	0	0	12	0	98	0	0	0	0	0	0	0	0	0
ASV_90	0	86	22	62	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	0	0	0	0	0	0	0	11	0	22	107	0	0	0	0	0	0	0	5	38	0	16	0	32	0	0	0	0	0	0	0	0	0
ASV_92	0	0	0	0	0	0	0	0	0	55	21	33	0	0	0	0	0	0	16	10	13	0	27	10	46	0	0	0	0	0	0	0	0	0
ASV_93	0	0	0	0	0	0	0	0	10	24	0	0	0	0	0	97	0	0	0	0	0	0	16	80	0	0	0	0	3	0	0	0	0	0
ASV_94	0	61	76	54	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_95	0	0	0	0	0	0	0	0	16	16	0	10	7	9	0	10	0	0	8	4	0	0	16	41	77	0	0	0	0	0	0	0	0	0
ASV_96	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	94	0	0	0	0	0	0	0	76	0	5	0	0	0	0	0	0	0	20
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0
ASV_98	0	0	0	0	0	0	0	0	109	49	0	0	0	0	0	0	0	0	28	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
ASV_99	0	0	0	0	0	0	0	0	16	23	0	13	0	0	12	4	0	8	0	0	0	0	51	72	0	0	0	0	0	0	0	0	6	6
ASV_100	33	0	41	12	8	47	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14	0	182	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	32	28	0	0	0	0	0	0	0	0	21	29
ASV_103	0	0	104	50	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	166	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	13	5	17	8	133
ASV_106	0	18	80	68	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	0	0	0	0	0	0	0	0	21	26	20	17	0	17	7	0	0	0	7	10	0	0	13	0	56	0	0	0	0	0	0	0	0	0
ASV_108	0	0	0	0	0	128	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_109	35	26	0	0	0	50	55	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_110	0	0	0	0	0	0	0	0	0	0	0	27	0	27	0	0	0	0	0	0	24	0	15	0	92	0	0	0	0	0	0	0	0	0
ASV_111	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_112	28	0	36	0	0	48	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	21	13	0	92	34	0
ASV_114	0	51	22	37	28	10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_115	0	0	0	0	0	0	0	0	0	7	89	23	0	0	0	0	0	0	0	0	0	0	15	0	35	0	0	0	0	0	0	0	0	0
ASV_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	22	11	127
ASV_117	0	13	0	0	0	11	0	122	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_118	0	0	0	0	0	0	0	0	15	0	0	0	0	0	18	0	0	10	0	0	0	0	21	19	82	0	0	0	0	0	0	0	0	0
ASV_119	0	33	34	25	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_120	0	11	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	0	0	0	0	0	0	0	0	75	17	0	0	4	0	0	5	0	29	8	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_122	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	39	0	0	22	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0
ASV_123	15	0	19	52	41	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_124	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	47	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV_125	0	48	19	32	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
ASV_126	0	0	0	0	0	0	0	0	11	9	0	0	12	0	0	24	0	0	0	0	0	0	19	31	10	5	0	0	0	0	0	8	6	13
ASV_127	27	15	8	0	0	40	37	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	18	33	20	23	0	0	0	44	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_129	0	32	44	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_130	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	5	15	33	28	29
