"#OTU ID","domain","phylum","class","order","family","genus","species"
"ASV_277","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae","TG5","Unknown"
"ASV_278","Bacteria","TM7","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_279","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_280","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Unknown","Unknown"
"ASV_281","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_282","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unknown","Unknown"
"ASV_283","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Lardizabala","biternata"
"ASV_284","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53","Unknown"
"ASV_285","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","Unknown"
"ASV_286","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_287","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Plesiomonas","shigelloides"
"ASV_288","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister","Unknown"
"ASV_289","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_290","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_291","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unknown","Unknown"
"ASV_292","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unknown","Unknown","Unknown"
"ASV_293","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Unknown"
"ASV_294","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","WAL_1855D","Unknown"
"ASV_295","Bacteria","Firmicutes","Bacilli","Bacillales","Unknown","Unknown","Unknown"
"ASV_296","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Unknown"
"ASV_297","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Unknown"
"ASV_298","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unknown"
"ASV_299","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unknown"
"ASV_300","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unknown","Unknown","Unknown"
"ASV_301","Bacteria","Proteobacteria","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_302","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_303","Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_304","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_305","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","dentocariosa"
"ASV_306","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Unknown"
"ASV_307","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]","tannerae"
"ASV_308","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Unknown"
"ASV_309","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_310","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_311","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_312","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_313","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Unknown","Unknown"
"ASV_314","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus","Unknown"
"ASV_315","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Unknown","Unknown"
"ASV_316","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unknown","Unknown"
"ASV_317","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_318","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_319","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","Unknown"
"ASV_320","Bacteria","Bacteroidetes","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_321","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Unknown","Unknown"
"ASV_322","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister","Unknown"
"ASV_323","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_324","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","ecb11","Unknown"
"ASV_325","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Unknown","Unknown"
"ASV_326","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus","Unknown"
"ASV_327","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Unknown"
"ASV_328","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"ASV_329","Bacteria","Proteobacteria","Alphaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_330","Bacteria","Firmicutes","Clostridia","Unknown","Unknown","Unknown","Unknown"
"ASV_331","Bacteria","Proteobacteria","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_332","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Unknown"
"ASV_333","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unknown","Unknown"
"ASV_334","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","ACK-M1","Unknown","Unknown"
"ASV_335","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unknown","Unknown","Unknown"
"ASV_336","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Unknown","Unknown"
"ASV_337","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unknown"
"ASV_338","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Brachymonas","denitrificans"
"ASV_339","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_340","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_341","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","faecium"
"ASV_342","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unknown","Unknown"
"ASV_343","Bacteria","Proteobacteria","Alphaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_344","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Unknown"
"ASV_345","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unknown","Unknown"
"ASV_346","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unknown","Unknown"
"ASV_347","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Unknown","Unknown"
"ASV_348","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","segnis"
"ASV_349","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Unknown","Unknown"
"ASV_350","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unknown","Unknown"
"ASV_351","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unknown","Unknown"
"ASV_352","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Unknown","Unknown"
"ASV_353","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Unknown"
"ASV_354","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_355","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unknown","Unknown"
"ASV_356","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema","socranskii"
"ASV_357","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Unknown"
"ASV_358","Bacteria","Proteobacteria","Betaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_359","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Unknown","Unknown"
"ASV_360","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_361","Bacteria","Proteobacteria","Gammaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_362","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unknown","Unknown","Unknown"
"ASV_363","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Unknown","Unknown"
"ASV_364","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_365","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Unknown"
"ASV_366","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unknown","Unknown","Unknown"
"ASV_367","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Unknown","Unknown"
"ASV_368","Bacteria","Proteobacteria","Betaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_369","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Unknown","Unknown","Unknown"
"ASV_370","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unknown"
"ASV_371","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Unknown"
"ASV_372","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unknown","Unknown"
"ASV_373","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Saccharomonospora","Unknown"
"ASV_374","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unknown","Unknown","Unknown"
"ASV_375","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","Unknown","Unknown"
"ASV_376","Bacteria","Firmicutes","Clostridia","Unknown","Unknown","Unknown","Unknown"
"ASV_377","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Unknown","Unknown"
"ASV_378","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unknown"
"ASV_379","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Mogibacterium","Unknown"
"ASV_380","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_381","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Unknown","Unknown"
"ASV_382","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Unknown","Unknown"
"ASV_383","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Flavisolibacter","Unknown"
"ASV_384","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Unknown"
"ASV_385","Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_386","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unknown","Unknown","Unknown"
"ASV_387","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Unknown","Unknown"
"ASV_388","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Unknown"
"ASV_389","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unknown","Unknown"
"ASV_390","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","marcusii"
"ASV_391","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Unknown"
"ASV_392","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_393","Bacteria","Firmicutes","Clostridia","Clostridiales","Unknown","Unknown","Unknown"
"ASV_394","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unknown","Unknown"
"ASV_395","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unknown","Unknown","Unknown"
"ASV_396","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unknown","Unknown"
"ASV_397","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","Mogibacterium","Unknown"
"ASV_398","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_399","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Unknown","Unknown"
"ASV_400","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Unknown"
"ASV_401","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unknown","Unknown","Unknown"
"ASV_402","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Unknown","Unknown"
"ASV_403","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Unknown"
"ASV_404","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Plesiomonas","shigelloides"
"ASV_405","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema","Unknown"
"ASV_406","Bacteria","Proteobacteria","Alphaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_407","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Unknown"
"ASV_408","Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ASV_409","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Unknown"
"ASV_410","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Unknown","Unknown"
"ASV_411","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unknown"
"ASV_412","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","Unknown","Unknown","Unknown"
"ASV_413","Bacteria","Proteobacteria","Alphaproteobacteria","Unknown","Unknown","Unknown","Unknown"
"ASV_414","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unknown","Unknown"
"ASV_415","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Unknown","Unknown"
"ASV_416","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Unknown","Unknown"
"ASV_417","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Unknown","Unknown"
"ASV_418","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera","Unknown"
"ASV_419","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseococcus","Unknown"
